"index","timestamp","updates","states","reward","reward_per_1k_updates","reward_per_1k_updates_sma25","updates_progress","states_progress","reward_progress"
"5755","20260219_162848","1004651","2884","-17728,43724","-35,957729","-21,621946","2,804456","0,634454","-2,332655"
"5756","20260219_162850","1005134","2884","-17745,83374","-36,017598","-22,038211","2,805828","0,634454","-2,334999"
"5757","20260219_162852","1005724","2885","-17751,78174","-10,081356","-21,360126","2,807504","0,634701","-2,335801"
"5758","20260219_162853","1006277","2886","-17767,29424","-28,051537","-21,91768","2,809076","0,634948","-2,337891"
"5759","20260219_162856","1006910","2886","-17777,44974","-16,043444","-21,744747","2,810874","0,634948","-2,339259"
"5760","20260219_162859","1007528","2886","-17784,85874","-11,988673","-21,699857","2,81263","0,634948","-2,340257"
"5761","20260219_162901","1008094","2886","-17790,31474","-9,639576","-21,107137","2,814238","0,634948","-2,340992"
"5762","20260219_162903","1008587","2887","-17801,70174","-23,097363","-21,29819","2,815639","0,635195","-2,342526"
"5763","20260219_162904","1008938","2887","-17811,92024","-29,112536","-22,172667","2,816636","0,635195","-2,343903"
"5764","20260219_162906","1009403","2887","-17830,02574","-38,936559","-22,753695","2,817957","0,635195","-2,346342"
"5765","20260219_162907","1009993","2887","-17841,97174","-20,247458","-22,567982","2,819634","0,635195","-2,347952"
"5766","20260219_162908","1011046","2887","-17874,82924","-31,203704","-22,789846","2,822626","0,635195","-2,352379"
"5767","20260219_162909","1011499","2887","-17890,19274","-33,915011","-23,355875","2,823913","0,635195","-2,354449"
"5768","20260219_162910","1012089","2887","-17904,30024","-23,911017","-23,345757","2,825589","0,635195","-2,356349"
"5769","20260219_162911","1012810","2888","-17921,81524","-24,292649","-23,735335","2,827638","0,635442","-2,358709"
"5770","20260219_162912","1013368","2888","-17933,87124","-21,605735","-23,805941","2,829223","0,635442","-2,360333"
"5771","20260219_162914","1013830","2888","-17945,79474","-25,808442","-23,617703","2,830536","0,635442","-2,36194"
"5772","20260219_162915","1014393","2890","-17953,39824","-13,505329","-23,375474","2,832135","0,635937","-2,362964"
"5773","20260219_162918","1015068","2890","-17962,71524","-13,802963","-23,134193","2,834053","0,635937","-2,36422"
"5774","20260219_162920","1015588","2891","-17972,77424","-19,344231","-22,936856","2,835531","0,636184","-2,365575"
"5775","20260219_162924","1016196","2893","-17988,60374","-26,035362","-23,415086","2,837258","0,636678","-2,367707"
"5776","20260219_162926","1016931","2894","-18007,65624","-25,921769","-23,893837","2,839346","0,636925","-2,370274"
"5777","20260219_162928","1017465","2894","-18017,65674","-18,727528","-24,069017","2,840864","0,636925","-2,371622"
"5778","20260219_162930","1017938","2894","-18030,12424","-26,358351","-23,652503","2,842208","0,636925","-2,373302"
"5779","20260219_162933","1018601","2895","-18036,70624","-9,927602","-22,941341","2,844091","0,637173","-2,374188"
"5780","20260219_162936","1019370","2896","-18051,24824","-18,910273","-22,259443","2,846276","0,63742","-2,376148"
"5781","20260219_162938","1020003","2896","-18068,48624","-27,232227","-21,908028","2,848075","0,63742","-2,37847"
"5782","20260219_162940","1020635","2896","-18077,36574","-14,049842","-22,066767","2,84987","0,63742","-2,379666"
"5783","20260219_162941","1021524","2896","-18104,58724","-30,62036","-22,16952","2,852396","0,63742","-2,383334"
"5784","20260219_162942","1022458","2899","-18135,10074","-32,6697","-22,83457","2,85505","0,638161","-2,387445"
"5785","20260219_162943","1022854","2899","-18147,87774","-32,265152","-23,645629","2,856175","0,638161","-2,389166"
"5786","20260219_162944","1023420","2899","-18161,99124","-24,935512","-24,257467","2,857783","0,638161","-2,391068"
"5787","20260219_162948","1024329","2901","-18178,06074","-17,678218","-24,040701","2,860366","0,638655","-2,393233"
"5788","20260219_162950","1024746","2902","-18187,98924","-23,809353","-23,828574","2,861551","0,638903","-2,394571"
"5789","20260219_162952","1025562","2904","-18202,88674","-18,25674","-23,001381","2,863869","0,639397","-2,396578"
"5790","20260219_162954","1025962","2905","-18219,24224","-40,88875","-23,827033","2,865006","0,639644","-2,398781"
"5791","20260219_162956","1026606","2905","-18238,74974","-30,291149","-23,790531","2,866836","0,639644","-2,40141"
"5792","20260219_162958","1027053","2905","-18251,33324","-28,151007","-23,55997","2,868106","0,639644","-2,403105"
"5793","20260219_163000","1027825","2906","-18266,50774","-19,656088","-23,389773","2,870299","0,639891","-2,405149"
"5794","20260219_163004","1028414","2907","-18274,02624","-12,764856","-22,928661","2,871973","0,640138","-2,406162"
"5795","20260219_163008","1029136","2907","-18283,13524","-12,616343","-22,569086","2,874024","0,640138","-2,40739"
"5796","20260219_163010","1029718","2911","-18300,71874","-30,212199","-22,745236","2,875678","0,641127","-2,409759"
"5797","20260219_163012","1030174","2911","-18313,26624","-27,516447","-23,305681","2,876973","0,641127","-2,411449"
"5798","20260219_163013","1030704","2913","-18318,87874","-10,589623","-23,177147","2,878479","0,641621","-2,412205"
"5799","20260219_163014","1031131","2913","-18324,35224","-12,818501","-22,916118","2,879692","0,641621","-2,412943"
"5800","20260219_163015","1031774","2914","-18333,86074","-14,787714","-22,466212","2,881519","0,641869","-2,414224"
"5801","20260219_163016","1032955","2915","-18365,54924","-26,831922","-22,502618","2,884875","0,642116","-2,418493"
"5802","20260219_163017","1033349","2916","-18375,57674","-25,450508","-22,771537","2,885994","0,642363","-2,419844"
"5803","20260219_163018","1034008","2919","-18386,49974","-16,575114","-22,380208","2,887867","0,643104","-2,421316"
"5804","20260219_163019","1034741","2919","-18400,52524","-19,134379","-22,748479","2,889949","0,643104","-2,423206"
"5805","20260219_163022","1035388","2919","-18410,58074","-15,541731","-22,613737","2,891788","0,643104","-2,42456"
"5806","20260219_163023","1035910","2920","-18420,63224","-19,255747","-22,294678","2,893271","0,643351","-2,425915"
"5807","20260219_163025","1036436","2920","-18430,62974","-19,006654","-22,492951","2,894765","0,643351","-2,427262"
"5808","20260219_163028","1037234","2921","-18445,00174","-18,010025","-21,988537","2,897033","0,643599","-2,429198"
"5809","20260219_163030","1037813","2923","-18453,16024","-14,090674","-21,245376","2,898678","0,644093","-2,430297"
"5810","20260219_163032","1038412","2925","-18471,19424","-30,106845","-21,159044","2,90038","0,644587","-2,432727"
"5811","20260219_163033","1038828","2925","-18483,72324","-30,117788","-21,366335","2,901562","0,644587","-2,434415"
"5812","20260219_163036","1039578","2926","-18495,47324","-15,666667","-21,285873","2,903693","0,644834","-2,435998"
