"Timestamp","TotalUpdates","Reward","States3D","StatesPlanar"
"20260219_041814","253895","-5348,478095198214","0","686"
"20260219_041826","254221","-5343,40809519821","0","687"
"20260219_041843","254751","-5348,956095198206","0","687"
"20260219_041900","255220","-5364,8455951982","0","687"
"20260219_041914","255711","-5374,331095198196","0","688"
"20260219_041926","256056","-5387,942095198195","0","688"
"20260219_041941","256513","-5400,371595198192","0","688"
"20260219_042000","257039","-5406,539595198191","0","688"
"20260219_042015","257523","-5421,723095198187","0","688"
"20260219_042036","258130","-5437,506095198181","0","688"
"20260219_042057","258771","-5449,720595198176","0","688"
"20260219_042118","259407","-5464,792095198172","0","688"
"20260219_042135","259946","-5472,564595198166","0","688"
"20260219_042153","260474","-5477,551095198164","0","689"
"20260219_042205","260892","-5484,2690951981585","0","690"
"20260219_042220","261321","-5495,3395951981565","0","691"
"20260219_042235","261860","-5498,647595198153","0","692"
"20260219_042247","262164","-5518,87609519815","0","692"
"20260219_042307","262749","-5526,970095198148","0","693"
"20260219_042323","263242","-5535,549595198147","0","693"
"20260219_042334","263633","-5541,172095198142","0","693"
"20260219_042359","264376","-5552,866595198137","0","694"
"20260219_042414","264839","-5567,921095198129","0","694"
"20260219_042432","265351","-5583,412595198122","0","694"
"20260219_042448","265820","-5598,602095198118","0","694"
"20260219_042504","266273","-5608,924095198113","0","694"
"20260219_042523","266952","-5609,474095198111","0","695"
"20260219_042543","267552","-5610,372095198107","0","696"
"20260219_042559","268115","-5612,035595198103","0","696"
"20260219_042617","268661","-5611,583095198101","0","696"
"20260219_042633","269251","-5614,728095198097","0","696"
"20260219_042652","269807","-5632,3835951980955","0","696"
"20260219_042707","270291","-5641,009595198091","0","696"
"20260219_042724","270838","-5656,5465951980905","0","696"
"20260219_042744","271449","-5662,39709519809","0","698"
"20260219_042800","271898","-5669,936595198083","0","698"
"20260219_042823","272650","-5681,642095198078","0","698"
"20260219_042844","273192","-5690,427595198076","0","698"
"20260219_042857","273583","-5700,955595198072","0","699"
"20260219_042910","273946","-5713,919095198069","0","699"
"20260219_042919","274247","-5730,568595198068","0","701"
"20260219_042934","274719","-5743,006595198066","0","701"
"20260219_042949","275154","-5758,4135951980625","0","701"
"20260219_043008","275789","-5772,955095198057","0","702"
"20260219_043027","276431","-5780,870095198052","0","702"
"20260219_043043","276929","-5791,627095198049","0","703"
"20260219_043102","277456","-5807,855595198046","0","704"
"20260219_043117","277874","-5826,1765951980415","0","704"
"20260219_043133","278502","-5826,1475951980365","0","704"
"20260219_043151","279010","-5839,059595198035","0","704"
"20260219_043209","279585","-5849,481095198031","0","704"
"20260219_043228","280175","-5860,505095198024","0","704"
"20260219_043240","280605","-5869,371095198018","0","706"
"20260219_043256","281064","-5870,3130951980165","0","708"
"20260219_043310","281487","-5881,930095198014","0","708"
"20260219_043333","282258","-5890,750095198007","0","709"
"20260219_043358","282995","-5902,492095198003","0","709"
"20260219_043417","283577","-5910,027595198001","0","710"
"20260219_043433","284103","-5922,829595197995","0","710"
"20260219_043450","284599","-5924,19959519799","0","710"
"20260219_043511","285345","-5930,440095197985","0","710"
